sounds,files,words,correct_answer,training,practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome_animation.started,welcome_animation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,instructions.started,instructions.stopped,ISI.started,ISI.stopped,text.started,text.stopped,text_2.started,text_2.stopped,start.started,start.stopped,breaks.started,breaks.stopped,end.started,end.stopped,participant,date,expName,psychopyVersion,frameRate,
stimuli/DW_S2_yu2-w_305ms.wav,DW_S2_yu2-w_305ms.wav,1-迂          2-鱼          3-雨          4-玉,2,None,,,,,0,52,52,65,,,,,,,2,1,2.173193721999951,388.953726148,None,388.44875471,None,0.0005099634000771402,0.5005099634000771,390.450443197,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yi2-p_305ms.wav,SC_S1_yi2-p_305ms.wav,1-衣          2-姨          3-椅          4-意,2,None,,,,,0,53,53,35,,,,,,,2,1,1.750380941000003,391.64851079999994,None,391.143585335,None,0.00033741799995823385,0.5003374179999582,393.142815725,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_wu3-p_305ms.wav,DW_S1_wu3-p_305ms.wav,1-乌          2-无          3-五          4-物,3,None,,,,,0,54,54,151,,,,,,,3,1,2.6151033070000267,393.91980214800003,None,393.414915832,None,0.0007192033999672276,0.5007192033999672,395.415214212,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_ma1-w_305ms.wav,SC_S1_ma1-w_305ms.wav,1-妈          2-麻          3-马           4-骂,1,None,,,,,0,55,55,39,,,,,,,3,0,2.1664570420000473,397.05645973699995,None,396.55161002,None,0.0010064024000939753,0.501006402400094,398.55404296099994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_ma1-w_192ms.wav,SC_S2_ma1-w_192ms.wav,1-妈          2-麻          3-马           4-骂,1,None,,,,,0,56,56,8,,,,,,,3,0,2.097020624000038,399.74189526199996,None,399.23726802199997,None,0.00019140020003760583,0.5001914002000376,401.23812764,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yi4-w_192ms.wav,SC_S1_yi4-w_192ms.wav,1-衣          2-姨          3-椅          4-意,4,None,,,,,0,57,57,97,,,,,,,1,0,2.10254877400007,402.36036101699995,None,401.85551528400003,None,0.0009184019999111115,0.5009184019999111,403.85692364499994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_ma1-w_305ms.wav,DW_S2_ma1-w_305ms.wav,1-妈          2-麻          3-马           4-骂,1,None,,,,,0,58,58,61,,,,,,,3,0,1.8062350989999914,404.98467624599994,None,404.47914709199995,None,0.0006773133999331549,0.5006773133999332,406.482181139,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_e4-w_305ms.wav,SC_S2_e4-w_305ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,4,None,,,,,0,59,59,45,,,,,,,4,1,2.8701874260000295,407.31273326099995,None,406.806996863,None,0.0009088809999866498,0.5009088809999866,408.81353199,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_ma1-w_192ms.wav,SC_S1_ma1-w_192ms.wav,1-妈          2-麻          3-马           4-骂,1,None,,,,,0,60,60,4,,,,,,,3,0,2.1138164400000505,410.701092722,None,410.19573505799997,None,0.0007919703999732519,0.5007919703999733,412.196446423,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_wu3-w_305ms.wav,SC_S2_wu3-w_305ms.wav,1-乌          2-无          3-五          4-物,3,None,,,,,0,61,61,1,,,,,,,3,1,2.319911341999955,413.33505973800004,None,412.830139678,None,0.001281929000015225,0.5012819290000152,414.83083190900004,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
